Gene	Freq_group	Log2FC
Ppap2b	1	-1.6149999999999998
Rpl18	1	-0.9574236874236873
4632419K20Rik	1	-1.2287362637362633
Hist2h2aa1	2	-1.6908058608058607
Eral1	1	-2.2863797313797316
Pole	3	-1.1586680289857143
Hs1bp1	1	-1.2330280830280829
Tor1b	2	-1.7670360195360193
Tead2	1	-1.6034004884004887
Ethe1	1	-2.0814163614163617
B4galt3	1	-1.8921123321123319
1200011O22Rik	1	-1.8162515262515262
D10Ertd610e	1	-1.1362881562881557
Serf2	2	-1.262667887667888
Atpaf2	1	-1.1694627594627591
Glg1	1	-1.0426800976800978
Wdr8	1	-1.107869352869353
Limd1	1	-1.4296398046398042
2410018C20Rik	1	-1.4062087912087917
1700094D03Rik	1	-1.2543711843711838
2610025M23Rik	1	-1.704432234432235
Notch3	2	-0.1965811581659952
Dlst	1	-0.9754029304029304
Rpl36	1	-1.2691025641025642
Hdac1	2	-1.0856593406593409
Whsc2	2	-1.2565781440781445
Rp9h	1	-2.089304029304029
Polr2e	1	-2.1166788766788764
Mbd1	1	-1.5350793650793653
Arid3b	2	-1.2116573624507325
Matk	1	-2.1505494505494505
G630041M05Rik	1	-2.1142429792429778
Gemin7	1	-1.1945177045177042
Col4a1	3	-1.3682956203518106
Ifi35	1	-1.803260073260073
Ppp5c	2	-1.370891330891331
D1Ertd161e	1	-1.7174236874236872
2410008M22Rik	1	-1.06993894993895
Fgd1	1	-1.0735347985347983
D2Bwg1335e	1	-2.1589010989010995
Dhx38	1	-1.5819413919413923
AW538196	2	4.3485531135531135
Myg1	2	-1.144410866910867
Vamp5	1	-1.598296703296704
9530098M12Rik	1	-2.3347496947496946
Chrac1	1	-1.5164041514041502
D4Wsu114e	1	-1.375586080586081
Sars1	1	-1.2493833943833945
Isyna1	1	-1.1654029304029305
Brpf1	2	-1.2441012564825398
